pair_id,image1_path,image2_path,is_match,predicted_match,similarity_score,threshold,success,detection_time,alignment_time,embedding_time,similarity_time,total_time
pair_113,D:\test\face-matching_yunet\datasets\lfw-deepfunneled\lfw-deepfunneled\Janica_Kostelic\Janica_Kostelic_0001.jpg,D:\test\face-matching_yunet\datasets\lfw-deepfunneled\lfw-deepfunneled\Janica_Kostelic\Janica_Kostelic_0002.jpg,True,False,0.10939707607030869,0.21,True,0.03813040256500244,0.0,0.49949169158935547,0.00041031837463378906,1.0781168937683105
pair_186,D:\test\face-matching_yunet\datasets\lfw-deepfunneled\lfw-deepfunneled\Martha_Bowen\Martha_Bowen_0001.jpg,D:\test\face-matching_yunet\datasets\lfw-deepfunneled\lfw-deepfunneled\Martha_Bowen\Martha_Bowen_0002.jpg,True,False,0.14400669932365417,0.21,True,0.03756296634674072,0.0,0.536711573600769,0.0003924369812011719,1.1585705280303955
pair_1862,D:\test\face-matching_yunet\datasets\lfw-deepfunneled\lfw-deepfunneled\Cristina_Fernandez\Cristina_Fernandez_0001.jpg,D:\test\face-matching_yunet\datasets\lfw-deepfunneled\lfw-deepfunneled\Cristina_Fernandez\Cristina_Fernandez_0002.jpg,True,False,0.0,0.21,True,0.0308455228805542,0.0,0.49466538429260254,0.00032138824462890625,1.0536625385284424
pair_2068,D:\test\face-matching_yunet\datasets\lfw-deepfunneled\lfw-deepfunneled\Tom_Daschle\Tom_Daschle_0015.jpg,D:\test\face-matching_yunet\datasets\lfw-deepfunneled\lfw-deepfunneled\Tom_Daschle\Tom_Daschle_0021.jpg,True,False,0.0,0.21,True,0.03789830207824707,0.0,0.4379243850708008,0.0004932880401611328,0.9593625068664551
pair_2499,D:\test\face-matching_yunet\datasets\lfw-deepfunneled\lfw-deepfunneled\Elisabeth_Schumacher\Elisabeth_Schumacher_0001.jpg,D:\test\face-matching_yunet\datasets\lfw-deepfunneled\lfw-deepfunneled\Elisabeth_Schumacher\Elisabeth_Schumacher_0002.jpg,True,False,0.0,0.21,True,0.035146117210388184,0.0,0.4476977586746216,0.0003600120544433594,0.9682793617248535
pair_2551,D:\test\face-matching_yunet\datasets\lfw-deepfunneled\lfw-deepfunneled\Jim_OBrien\Jim_OBrien_0001.jpg,D:\test\face-matching_yunet\datasets\lfw-deepfunneled\lfw-deepfunneled\Jim_OBrien\Jim_OBrien_0002.jpg,True,False,0.0,0.21,True,0.02731180191040039,0.0,0.452573299407959,0.0002689361572265625,0.9620466232299805
pair_2552,D:\test\face-matching_yunet\datasets\lfw-deepfunneled\lfw-deepfunneled\Jim_OBrien\Jim_OBrien_0001.jpg,D:\test\face-matching_yunet\datasets\lfw-deepfunneled\lfw-deepfunneled\Jim_OBrien\Jim_OBrien_0003.jpg,True,False,0.0,0.21,True,0.024814605712890625,0.0,0.4515174627304077,0.0002605915069580078,0.9553678035736084
pair_3652,D:\test\face-matching_yunet\datasets\lfw-deepfunneled\lfw-deepfunneled\Debra_Messing\Debra_Messing_0001.jpg,D:\test\face-matching_yunet\datasets\lfw-deepfunneled\lfw-deepfunneled\Debra_Messing\Debra_Messing_0002.jpg,True,False,0.1602386236190796,0.21,True,0.06232714653015137,0.0,0.8414102792739868,0.0010707378387451172,1.8128468990325928
pair_3873,D:\test\face-matching_yunet\datasets\lfw-deepfunneled\lfw-deepfunneled\Surakait_Sathirathai\Surakait_Sathirathai_0001.jpg,D:\test\face-matching_yunet\datasets\lfw-deepfunneled\lfw-deepfunneled\Surakait_Sathirathai\Surakait_Sathirathai_0002.jpg,True,False,0.07840554416179657,0.21,True,0.04897952079772949,0.0,0.8895219564437866,0.0010673999786376953,1.8837463855743408
pair_4315,D:\test\face-matching_yunet\datasets\lfw-deepfunneled\lfw-deepfunneled\John_McEnroe\John_McEnroe_0001.jpg,D:\test\face-matching_yunet\datasets\lfw-deepfunneled\lfw-deepfunneled\John_McEnroe\John_McEnroe_0002.jpg,True,False,0.11176067590713501,0.21,True,0.0655897855758667,0.0,1.292048692703247,0.0005254745483398438,2.7193779945373535
